cell_id,lever,notes,day_-2_pnl,day_-1_pnl,day_0_pnl,mean_pnl,min_pnl,max_pnl,std_pnl,total_maker_fills,total_taker_fills,local_total_pnl_3day,expected_official_pnl_per_day,avg_markout_1,avg_markout_5,avg_markout_20
C5_tau500_a0.3,C5,"Target-v2: ewma tau=500, alpha=0.3, d=2, sigma_ref=1.06, clip-to-flatten",831.00,855.00,1072.00,919.33,831.00,1072.00,108.40,8,371,2758.00,626.92,1.100,1.161,1.086
C5_tau500_a0.6,C5,"Target-v2: ewma tau=500, alpha=0.6, d=2, sigma_ref=1.06, clip-to-flatten",955.50,800.00,885.00,880.17,800.00,955.50,63.57,8,435,2640.50,525.92,0.936,1.022,0.917
C5_tau500_a1.0,C5,"Target-v2: ewma tau=500, alpha=1.0, d=2, sigma_ref=1.06, clip-to-flatten",1175.50,1203.00,605.00,994.50,605.00,1203.00,275.65,6,490,2983.50,430.12,0.791,0.921,0.853
C5_tau2000_a0.3,C5,"Target-v2: ewma tau=2000, alpha=0.3, d=2, sigma_ref=1.06, clip-to-flatten",656.00,691.00,634.00,660.33,634.00,691.00,23.47,7,389,1981.00,387.58,0.770,0.830,0.740
C5_tau2000_a0.6,C5,"Target-v2: ewma tau=2000, alpha=0.6, d=2, sigma_ref=1.06, clip-to-flatten",773.50,712.00,272.00,585.83,272.00,773.50,223.33,6,470,1757.50,261.61,0.610,0.695,0.549
C5_tau2000_a1.0,C5,"Target-v2: ewma tau=2000, alpha=1.0, d=2, sigma_ref=1.06, clip-to-flatten",643.00,935.00,227.00,601.67,227.00,935.00,290.51,7,502,1805.00,287.79,0.452,0.522,0.452
C5_tau8000_a0.3,C5,"Target-v2: ewma tau=8000, alpha=0.3, d=2, sigma_ref=1.06, clip-to-flatten",656.00,691.00,634.00,660.33,634.00,691.00,23.47,7,389,1981.00,387.58,0.770,0.830,0.740
C5_tau8000_a0.6,C5,"Target-v2: ewma tau=8000, alpha=0.6, d=2, sigma_ref=1.06, clip-to-flatten",773.50,712.00,274.00,586.50,274.00,773.50,222.39,6,472,1759.50,261.05,0.593,0.685,0.554
C5_tau8000_a1.0,C5,"Target-v2: ewma tau=8000, alpha=1.0, d=2, sigma_ref=1.06, clip-to-flatten",643.00,835.00,227.00,568.33,227.00,835.00,253.77,7,502,1705.00,271.85,0.419,0.489,0.413
C5_dead_zone_hybrid_d2.0,C5,"Target-v2: mode=dead_zone, style=hybrid, dz=2.0, alpha=0.6",773.50,712.00,272.00,585.83,272.00,773.50,223.33,6,470,1757.50,261.61,0.610,0.695,0.549
C5_dead_zone_hybrid_d3.0,C5,"Target-v2: mode=dead_zone, style=hybrid, dz=3.0, alpha=0.6",515.50,649.00,321.00,495.17,321.00,649.00,134.68,5,418,1485.50,210.37,0.432,0.499,0.370
C5_linear_hybrid_d0.0,C5,"Target-v2: mode=linear, style=hybrid, dz=0.0, alpha=0.6",821.00,654.00,341.00,605.33,341.00,821.00,198.96,9,481,1816.00,366.87,0.504,0.579,0.527
C5_linear_maker_d0.0,C5,"Target-v2: mode=linear, style=maker, dz=0.0, alpha=0.6",17.00,-4.00,8.00,7.00,-4.00,17.00,8.60,7,0,21.00,194.44,0.183,0.200,1.067
