cell_id,tape,ash_pnl,maker_fills,taker_fills,final_position
F1_C_h1_alt,ash_flat,-4445.50,0,241,9
F1_C_h1_alt,ash_amp3x,15423.50,0,252,49
F1_C_h1_alt,ash_narrow_spread,5062.50,0,508,53
F1_C_h1_alt,ash_thin_book,1324.00,0,244,30
F1_C_h1_alt,ash_anchor_shift,-4601.00,0,372,-44
F1_C_h1_alt,ash_one_sided_heavy,2552.00,0,238,30
F1_C_h1_alt,day_0_real,2541.00,3,285,-13
F2a_C1_as_g2e-06,ash_flat,-4614.00,0,252,26
F2a_C1_as_g2e-06,ash_amp3x,15844.50,0,236,57
F2a_C1_as_g2e-06,ash_narrow_spread,3283.00,0,568,52
F2a_C1_as_g2e-06,ash_thin_book,1088.00,0,231,60
F2a_C1_as_g2e-06,ash_anchor_shift,-1104.00,0,241,-56
F2a_C1_as_g2e-06,ash_one_sided_heavy,1398.00,0,230,56
F2a_C1_as_g2e-06,day_0_real,2943.00,8,291,-54
F2b_D6_m25_as_continuous,ash_flat,-4449.00,0,212,-2
F2b_D6_m25_as_continuous,ash_amp3x,16247.00,0,239,80
F2b_D6_m25_as_continuous,ash_narrow_spread,4375.00,0,523,80
F2b_D6_m25_as_continuous,ash_thin_book,1059.00,0,236,80
F2b_D6_m25_as_continuous,ash_anchor_shift,-589.00,0,232,-78
F2b_D6_m25_as_continuous,ash_one_sided_heavy,2114.00,0,229,80
F2b_D6_m25_as_continuous,day_0_real,3136.00,7,291,-44
F2c_B1_weighted_mid,ash_flat,0.00,0,0,0
F2c_B1_weighted_mid,ash_amp3x,24067.00,0,1028,14
F2c_B1_weighted_mid,ash_narrow_spread,6403.00,0,406,32
F2c_B1_weighted_mid,ash_thin_book,1557.00,0,218,18
F2c_B1_weighted_mid,ash_anchor_shift,2984.50,0,223,15
F2c_B1_weighted_mid,ash_one_sided_heavy,2680.00,0,208,10
F2c_B1_weighted_mid,day_0_real,3387.00,5,265,5
F2d_B2_m25_t05,ash_flat,-4445.50,0,241,9
F2d_B2_m25_t05,ash_amp3x,15423.50,0,252,49
F2d_B2_m25_t05,ash_narrow_spread,5062.50,0,508,53
F2d_B2_m25_t05,ash_thin_book,1324.00,0,244,30
F2d_B2_m25_t05,ash_anchor_shift,-4601.00,0,372,-44
F2d_B2_m25_t05,ash_one_sided_heavy,2552.00,0,238,30
F2d_B2_m25_t05,day_0_real,2546.00,5,285,-18
F3a_D5_weighted_m25_c2,ash_flat,0.00,0,0,0
F3a_D5_weighted_m25_c2,ash_amp3x,23489.00,0,1015,36
F3a_D5_weighted_m25_c2,ash_narrow_spread,6326.50,0,407,43
F3a_D5_weighted_m25_c2,ash_thin_book,1571.50,0,215,25
F3a_D5_weighted_m25_c2,ash_anchor_shift,3168.00,0,224,32
F3a_D5_weighted_m25_c2,ash_one_sided_heavy,2709.50,0,206,27
F3a_D5_weighted_m25_c2,day_0_real,3346.00,2,256,23
F3b_D7_weighted_as_g2e-6,ash_flat,0.00,0,0,0
F3b_D7_weighted_as_g2e-6,ash_amp3x,21027.50,0,1000,33
F3b_D7_weighted_as_g2e-6,ash_narrow_spread,6280.50,0,402,51
F3b_D7_weighted_as_g2e-6,ash_thin_book,1483.50,0,216,29
F3b_D7_weighted_as_g2e-6,ash_anchor_shift,2701.00,0,223,14
F3b_D7_weighted_as_g2e-6,ash_one_sided_heavy,2571.00,0,197,46
F3b_D7_weighted_as_g2e-6,day_0_real,3336.00,6,250,47
F3c_D8_m25_cartea_b01,ash_flat,-4445.50,0,241,9
F3c_D8_m25_cartea_b01,ash_amp3x,16652.50,0,268,49
F3c_D8_m25_cartea_b01,ash_narrow_spread,5061.00,0,539,52
F3c_D8_m25_cartea_b01,ash_thin_book,1338.00,0,255,32
F3c_D8_m25_cartea_b01,ash_anchor_shift,-4763.50,0,385,-39
F3c_D8_m25_cartea_b01,ash_one_sided_heavy,2607.00,0,247,34
F3c_D8_m25_cartea_b01,day_0_real,2673.00,4,307,-19
F3d_C1_as_g5e-7,ash_flat,-4488.00,0,217,26
F3d_C1_as_g5e-7,ash_amp3x,16405.50,0,235,59
F3d_C1_as_g5e-7,ash_narrow_spread,4422.00,0,554,52
F3d_C1_as_g5e-7,ash_thin_book,1132.00,0,234,60
F3d_C1_as_g5e-7,ash_anchor_shift,-959.00,0,241,-62
F3d_C1_as_g5e-7,ash_one_sided_heavy,2051.00,0,222,56
F3d_C1_as_g5e-7,day_0_real,2943.00,7,288,-54
F3e_C3_cartea_b03,ash_flat,-4459.50,0,242,9
F3e_C3_cartea_b03,ash_amp3x,17369.00,0,316,54
F3e_C3_cartea_b03,ash_narrow_spread,5502.00,0,609,46
F3e_C3_cartea_b03,ash_thin_book,1335.50,0,271,29
F3e_C3_cartea_b03,ash_anchor_shift,-4615.00,0,410,-42
F3e_C3_cartea_b03,ash_one_sided_heavy,2250.00,0,294,28
F3e_C3_cartea_b03,day_0_real,2294.00,3,356,-22
