label,note,mean_real,std_real,day_-2,day_-1,day_0,flat,reversed,high_vol,stepped,mild_reversed,late_reversed,reversed_high_vol,shock_down_recover,frontier_score
GC_w32_g0p005_t00_l1,"frontier: window=32, target=0, open_take_mode=level1_only, neg_slope=0.005",79417.0,158.82065356873457,79627.0,79381.0,79243.0,213.5,-3402.0,85055.0,32888.0,-2551.0,49598.0,-3101.5,78927.0,102539.87999999998
GC_w32_g0p01_t00_l1,"frontier: window=32, target=0, open_take_mode=level1_only, neg_slope=0.010",79417.0,158.82065356873457,79627.0,79381.0,79243.0,153.0,-3402.0,85043.0,32888.0,-2551.0,49598.0,-3825.5,79719.0,102497.46999999999
GC_w32_g0p015_t00_l1,"frontier: window=32, target=0, open_take_mode=level1_only, neg_slope=0.015",79417.0,158.82065356873457,79627.0,79381.0,79243.0,-2.0,-3402.0,85545.0,32888.0,-2939.0,49598.0,-3825.5,79740.0,102484.24999999999
GC_w32_g0p02_t00_l1,"frontier: window=32, target=0, open_take_mode=level1_only, neg_slope=0.020",79417.0,158.82065356873457,79627.0,79381.0,79243.0,-130.0,-3402.0,85545.0,32888.0,-3085.0,49598.0,-4618.0,79887.0,102396.63999999998
GC_w32_g0p03_t00_l1,"frontier: window=32, target=0, open_take_mode=level1_only, neg_slope=0.030",79417.0,158.82065356873457,79627.0,79381.0,79243.0,-223.0,-3402.0,85924.0,32888.0,-3085.0,49598.0,-5015.0,79881.0,102369.99999999999
GC_w32_g0p025_t00_l1,"frontier: window=32, target=0, open_take_mode=level1_only, neg_slope=0.025",79417.0,158.82065356873457,79627.0,79381.0,79243.0,-220.0,-3402.0,85808.0,32888.0,-3085.0,49598.0,-5318.0,79881.0,102335.11999999998
GC_w32_g0p04_t00_l1,"frontier: window=32, target=0, open_take_mode=level1_only, neg_slope=0.040",79417.0,158.82065356873457,79627.0,79381.0,79243.0,-289.0,-3402.0,86346.0,32888.0,-4036.0,49598.0,-4943.0,79781.0,102312.68
GC_w32_g0p05_t00_l1,"frontier: window=32, target=0, open_take_mode=level1_only, neg_slope=0.050",79417.0,158.82065356873457,79627.0,79381.0,79243.0,-289.0,-4577.0,86914.0,32888.0,-10107.5,49598.0,-3391.5,79687.0,101883.56999999999
GC_w32_g0p07_t00_l1,"frontier: window=32, target=0, open_take_mode=level1_only, neg_slope=0.070",79417.0,158.82065356873457,79627.0,79381.0,79243.0,-325.0,-7976.0,86914.0,32547.0,-39212.0,49598.0,-13273.0,79627.0,98196.75999999998
GC_w32_g0p1_t00_l1,"frontier: window=32, target=0, open_take_mode=level1_only, neg_slope=0.100",79417.0,158.82065356873457,79627.0,79381.0,79243.0,-325.0,-24169.0,86922.0,11336.0,-40214.0,49598.0,-45106.5,79627.0,91617.39000000001
GC_l1_noguard,"level1-only opening, no guard",79417.0,158.82065356873457,79627.0,79381.0,79243.0,-325.0,-80266.0,86952.0,-373.0,-40292.0,-373.0,-60928.0,79627.0,79486.1
C_v3_nearhold,"Control: V3_nearhold (uploaded, scored +7259 official on day 0)",79381.33333333333,141.01142585699296,79549.0,79204.0,79391.0,-451.0,-80431.0,86838.0,-451.0,-40451.0,-451.0,-61100.0,79549.0,79381.33333333333
